Judul,Lokasi,Harga,Kamar,WC,Parkir,Luas_Tanah,Luas_Bangunan,Harga_Normalized,Kamar_Normalized,WC_Normalized,Parkir_Normalized,Luas_Tanah_Normalized,Luas_Bangunan_Normalized,Judul_Clean,Lokasi_Clean,Deskripsi_Clean,Keywords_Clean
Di Jual Harga Rendah Rumah Luas Di Daerah Duwet,"Wonosari, Gunung Kidul",800000000.0,3.0,3.0,1,408.0,205.0,0.0007657925953361729,0.025316455696202535,0.010638297872340424,0.0,0.00011628574751021357,0.00017435912338386613,jual harga rendah rumah luas daerah duwet,wonosari gunung kidul,jual harga rendah rumah luas daerah duwet wonosari gunung kidul rumah luas daerah duwet,rumah full furnished siap huni dekat sekolah
Rumah Murah Full Furnish Di Patuk Dekat Heha Sky View,"Patuk, Gunung Kidul",320000000.0,2.0,1.0,1,70.0,36.0,0.000285295280615437,0.012658227848101266,0.0,0.0,1.9714291346940386e-05,2.991455548252605e-05,rumah murah full furnish patuk dekat heha sky view,patuk gunung kidul,rumah patuk lokasi patuk gunung kidul daerah istimewa yogyakarta rumah murah jual cepat bu,rumah full furnished
Rumah Baru di Playen Gunung Kidul Dekat RSUD Wonosari,"Playen, Gunung Kidul",400000000.0,2.0,1.0,1,80.0,50.0,0.0003653781664022263,0.012658227848101266,0.0,0.0,2.2571435020410005e-05,4.1880377675536474e-05,rumah baru playen gunung kidul dekat rsud wonosari,playen gunung kidul,,rumah dekat fasilitas sehat
Rumah Cantik Full Furnished Hanya 300JTAN Di Patuk,"Patuk, Gunung Kidul",320000000.0,2.0,1.0,1,70.0,36.0,0.000285295280615437,0.012658227848101266,0.0,0.0,1.9714291346940386e-05,2.991455548252605e-05,rumah cantik full furnished 300jtan patuk,patuk gunung kidul,rumah cantik full furnished 300jtan patuk rumah cantik full furnished 300jtan patuk,rumah full furnished dekat sekolah
Rumah Scandinavian 200Jt an di Karangmojo Gunungkidul Dekat Uny,"Karangmojo, Gunung Kidul",280000000.0,2.0,1.0,1,100.0,40.0,0.0002452538377220423,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,3.3333361823386174e-05,rumah scandinavian 200jt an karangmojo gunungkidul dekat uny,karangmojo gunung kidul,promo launching perdana 200juta an sedia kavling murah unit batas 100 m2 101 m2 102 m2 105,rumah dekat sekolah dekat fasilitas sehat dekat tempat wisata
Paviliun Fully Furnished Di Patuk Dekat Wisata Gunung Kidul,"Patuk, Gunung Kidul",425000000.0,2.0,1.0,1,100.0,36.0,0.000390404068210598,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,2.991455548252605e-05,paviliun fully furnished patuk dekat wisata gunung kidul,patuk gunung kidul,huni nyaman modern dekat wisata gunung kidul investasi cerdas fasilitas lengkap dan,rumah full furnished siap huni dekat tempat wisata
Rumah Murah Di Jogja Hanya 8 Menit Dari Heha Sky View,"Patuk, Gunung Kidul",425000000.0,2.0,1.0,1,100.0,36.0,0.000390404068210598,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,2.991455548252605e-05,rumah murah jogja 8 menit heha sky view,patuk gunung kidul,rumah murah jogja 8 menit heha sky view kopilimo pavillion lokasi patuk gunung kidul,rumah full furnished dekat tempat wisata
Rumah Baru 200jtan di Karangmojo Wonosari Dekat Wonosari Kota Kpr,"Karangmojo, Gunung Kidul",280000000.0,2.0,1.0,1,100.0,40.0,0.0002452538377220423,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,3.3333361823386174e-05,rumah baru 200jtan karangmojo wonosari dekat wonosari kota kpr,karangmojo gunung kidul,rumah scandinavian karangmojo wonosari belakang spbu karangmojo dekat wonosari kota lokasi asri,rumah dekat sekolah dekat fasilitas sehat dekat tempat wisata
Rumah Murah Full Furnish Di Patuk Dekat Heha Sky View,"Patuk, Gunung Kidul",320000000.0,2.0,1.0,1,70.0,36.0,0.000285295280615437,0.012658227848101266,0.0,0.0,1.9714291346940386e-05,2.991455548252605e-05,rumah murah full furnish patuk dekat heha sky view,patuk gunung kidul,rumah murah jual cepat bu cluster villa fasum lengkap dekat banyak tempat wisata cocok,rumah full furnished
Dijual Villa Murah Dekat Heha Sky View Wonosari,"Wonosari, Gunung Kidul",425000000.0,2.0,1.0,2,100.0,36.0,0.000390404068210598,0.012658227848101266,0.0,0.05263157894736842,2.8285722367349247e-05,2.991455548252605e-05,jual villa murah dekat heha sky view wonosari,wonosari gunung kidul,jual villa murah dekat heha sky view wonosari lokasi wonosari semoyo patuk gunung kidul yogyakarta,rumah full furnished dekat tempat wisata
Hanya 200 Jtan Rumah Scandinavian di Karangmojo Gunungkidul Jogja,"Karangmojo, Gunung Kidul",280000000.0,2.0,1.0,1,100.0,40.0,0.0002452538377220423,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,3.3333361823386174e-05,200 jtan rumah scandinavian karangmojo gunungkidul jogja,karangmojo gunung kidul,rumah scandinavian karangmojo wonosari belakang spbu karangmojo dekat wonosari kota lokasi asri,rumah dekat fasilitas sehat dekat tempat wisata
Rumah Scandinavian Murah di Karangmojo Dekat Alun alun Wonosari,"Karangmojo, Gunung Kidul",280000000.0,2.0,1.0,1,100.0,40.0,0.0002452538377220423,0.012658227848101266,0.0,0.0,2.8285722367349247e-05,3.3333361823386174e-05,rumah scandinavian murah karangmojo dekat alun alun wonosari,karangmojo gunung kidul,kpr angsur 1 jt an rumah scandinavian karangmojo wonosari belakang spbu karangmojo dekat wonosari,rumah dekat fasilitas sehat dekat tempat wisata
