id,judul,link,harga,lokasi,image_url,image_path,kamar_tidur,kamar_mandi,parkir,luas_bangunan,luas_tanah,waktu_update
0,Rumah Siap Huni Gaya Jepang 300 Jutaan di Jogja Barat Full Furnished Dan Estetik,https://www.rumah123.com/properti/yogyakarta/hos18568574/,378.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/1968845/8b97d478c1825069f90f2a29aa7e3613.jpg,property_images\property_0.jpg,2.0,1.0,1.0,,,2024-11-07 13:24:13.294233
1,"10 Menit Saja !! Ke Kampus Sanata Dharma, Tanahnya Luas Lho 204m, Carpot Bisa 4 Mobil",https://www.rumah123.com/properti/yogyakarta/hos18498251/,900.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/736001/aa178bc1de7be1ef384f3bfcdee9f606.jpg,property_images\property_1.jpg,4.0,2.0,4.0,,,2024-11-02 13:24:14.292679
2,Villa Yogya Rumah Mewah Dijual Murah Full Furnish,https://www.rumah123.com/properti/yogyakarta/hos18142198/,7000.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/1906843/89901307ad96ca7b908fde15fc50068f.jpg,property_images\property_2.jpg,5.0,5.0,2.0,,,
3,Grand Launching Minimalis Kekinian di Sleman Utara Dekat Uii,https://www.rumah123.com/properti/yogyakarta/hos18577021/,768.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/1776788/b730355e5e77cba3bab42fae3f3656e3.jpg,property_images\property_3.jpg,2.0,2.0,1.0,,,2024-11-06 13:24:18.270508
4,5 Menitan Saja !! Ke Kampus Sanata Dharma..rumah Murah Tanahnya Luas,https://www.rumah123.com/properti/yogyakarta/hos18144187/,870.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/736001/3b516f2e89769c018e0585be248ae307.jpg,property_images\property_4.jpg,3.0,2.0,1.0,,,2024-11-02 13:24:19.082516
5,Rumah Murah Dengan Pool Bisa Custom Shm 2 Lantai Dekat Fasum2,https://www.rumah123.com/properti/yogyakarta/hos18159569/,1000.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/2032782/96a04ed646996b3af2914fb59913a6f9.jpg,property_images\property_5.jpg,4.0,3.0,2.0,,,
6,Cantik Modern Minimalis Dalam Perumahan dekat SMA Budi Mulia 2,https://www.rumah123.com/properti/yogyakarta/hos17742496/,934.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/1755808/2024-08-01-04-12-14-975285c9-92fa-44a7-a4e4-b251420750b0.jpg,property_images\property_6.jpg,3.0,1.0,1.0,,,
7,"Joglo Mewah Harga Murah, 600 Jutaan, Shm. di Sleman Yogyakarta",https://www.rumah123.com/properti/yogyakarta/hos18592463/,680.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/2048397/65a55d7f80fda9d9da4fc8c0566b703f.jpg,property_images\property_7.jpg,2.0,1.0,1.0,,,2024-11-07 13:24:20.800286
8,"Khusus Sale 11.11 Rumah Premium Joglo Shm, 360 Juta di Sleman Timur",https://www.rumah123.com/properti/yogyakarta/hos18591788/,360.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/2048397/65f13294fc1f8da9ca1074e9a8deb56d.jpg,property_images\property_8.jpg,2.0,1.0,1.0,,,2024-11-07 13:24:21.698411
9,"Cantik Modern, Tipe Industrial 200 An Juta, SHM Bisa Cash Maupun Kpr",https://www.rumah123.com/properti/yogyakarta/hos18430613/,275.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/2048397/034f6d3c627f73ccc5f6567f728f937d.jpg,property_images\property_9.jpg,2.0,1.0,1.0,,,
10,"Dijual Rumah Cantik Model Etnik Cuma 275 Juta, Dekat Sleman Yogya.",https://www.rumah123.com/properti/yogyakarta/hos18241603/,275.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/1347322/7e4aadec9332e73c29f658236ac9ab8d.png,property_images\property_10.jpg,2.0,1.0,1.0,,,
11,Rumah Tanah Luas Area Maguwo 170 M² Siap Huni,https://www.rumah123.com/properti/yogyakarta/hos18151009/,1000.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/1098849/c78f8e906d15bfd903f505d22cc362f1.jpg,property_images\property_11.jpg,4.0,2.0,2.0,,,
